event_seq,innings,runs,is_wicket,extra,next_batter_name,wicket_type,delay_sec,score_after,wickets_after,commentary,end_innings,end_match,change_bowler
1,1,0,false,,,,15,0,0,"Dot ball, Jasprit Bumrah to Ruturaj Gaikwad",false,false,
2,1,1,false,,,,15,1,0,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
3,1,4,false,,,,15,5,0,"Devon Conway finds the gap, races away for four",false,false,
4,1,6,false,,,,15,11,0,Devon Conway launches Jasprit Bumrah over long-on for SIX!,false,false,
5,1,2,false,,,,15,13,0,Devon Conway pushes for two in the deep,false,false,
6,1,0,false,,,,15,13,0,"Dot ball, Jasprit Bumrah to Devon Conway",false,false,Jason Behrendorff
7,1,1,false,,,,15,14,0,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
8,1,4,false,,,,15,18,0,"Devon Conway finds the gap, races away for four",false,false,
9,1,0,false,,,,15,18,0,"Dot ball, Jason Behrendorff to Devon Conway",false,false,
10,1,1,false,,,,15,19,0,"Quick single, Devon Conway keeps strike rotating",false,false,
11,1,6,false,,,,15,25,0,Ruturaj Gaikwad launches Jason Behrendorff over long-on for SIX!,false,false,
12,1,0,false,,,,15,25,0,"Dot ball, Jason Behrendorff to Ruturaj Gaikwad",false,false,Hardik Pandya
13,1,1,false,,,,15,26,0,"Quick single, Devon Conway keeps strike rotating",false,false,
14,1,4,false,,,,15,30,0,"Ruturaj Gaikwad finds the gap, races away for four",false,false,
15,1,2,false,,,,15,32,0,Ruturaj Gaikwad pushes for two in the deep,false,false,
16,1,0,false,,,,15,32,0,"Dot ball, Hardik Pandya to Ruturaj Gaikwad",false,false,
17,1,2,false,wide,,,15,34,0,"Wide from Hardik Pandya, pressure on the bowler in the chase",false,false,
18,1,0,false,,,,15,34,0,"Dot ball, Hardik Pandya to Ruturaj Gaikwad",false,false,
19,1,4,false,,,,15,38,0,"Ruturaj Gaikwad finds the gap, races away for four",false,false,Piyush Chawla
20,1,1,false,,,,15,39,0,"Quick single, Devon Conway keeps strike rotating",false,false,
21,1,6,false,,,,15,45,0,Ruturaj Gaikwad launches Piyush Chawla over long-on for SIX!,false,false,
22,1,2,false,,,,15,47,0,Ruturaj Gaikwad pushes for two in the deep,false,false,
23,1,0,false,,,,15,47,0,"Dot ball, Piyush Chawla to Ruturaj Gaikwad",false,false,
24,1,1,false,,,,15,48,0,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
25,1,0,true,,Ajinkya Rahane,caught,15,48,1,Devon Conway holes out — huge moment in the chase,false,false,Gerald Coetzee
26,1,1,false,,,,15,49,1,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
27,1,4,false,,,,15,53,1,"Ajinkya Rahane finds the gap, races away for four",false,false,
28,1,2,false,,,,15,55,1,Ajinkya Rahane pushes for two in the deep,false,false,
29,1,0,false,,,,15,55,1,"Dot ball, Gerald Coetzee to Ajinkya Rahane",false,false,
30,1,6,false,,,,15,61,1,Ajinkya Rahane launches Gerald Coetzee over long-on for SIX!,false,false,
31,1,1,false,,,,15,62,1,"Quick single, Ajinkya Rahane keeps strike rotating",false,false,Tim David
32,1,0,false,,,,15,62,1,"Dot ball, Tim David to Ajinkya Rahane",false,false,
33,1,4,false,,,,15,66,1,"Ajinkya Rahane finds the gap, races away for four",false,false,
34,1,1,false,,,,15,67,1,"Quick single, Ajinkya Rahane keeps strike rotating",false,false,
35,1,2,false,,,,15,69,1,Ruturaj Gaikwad pushes for two in the deep,false,false,
36,1,0,false,,,,15,69,1,"Dot ball, Tim David to Ruturaj Gaikwad",false,false,
37,1,0,false,,,,15,69,1,"Dot ball, Tim David to Ruturaj Gaikwad",false,false,Rohit Sharma
38,1,1,false,,,,15,70,1,"Quick single, Ajinkya Rahane keeps strike rotating",false,false,
39,1,0,false,,,,15,70,1,"Dot ball, Rohit Sharma to Ruturaj Gaikwad",false,false,
40,1,2,false,,,,15,72,1,Ruturaj Gaikwad pushes for two in the deep,false,false,
41,1,1,false,,,,15,73,1,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
42,1,4,false,,,,15,77,1,"Ajinkya Rahane finds the gap, races away for four",false,false,
43,1,0,false,,,,15,77,1,"Dot ball, Rohit Sharma to Ajinkya Rahane",false,false,Tilak Varma
44,1,1,false,,,,15,78,1,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
45,1,0,true,,Shivam Dube,bowled,15,78,2,Ajinkya Rahane bowled by Tilak Varma! CSK strike back,false,false,
46,1,1,false,,,,15,79,2,"Quick single, Shivam Dube keeps strike rotating",false,false,
47,1,2,false,,,,15,81,2,Ruturaj Gaikwad pushes for two in the deep,false,false,
48,1,0,false,,,,15,81,2,"Dot ball, Tilak Varma to Ruturaj Gaikwad",false,false,
49,1,1,false,,,,15,82,2,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,Jasprit Bumrah
50,1,4,false,,,,15,86,2,"Ruturaj Gaikwad finds the gap, races away for four",false,false,
51,1,0,false,,,,15,86,2,"Dot ball, Jasprit Bumrah to Ruturaj Gaikwad",false,false,
52,1,1,false,,,,15,87,2,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
53,1,2,false,,,,15,89,2,Shivam Dube pushes for two in the deep,false,false,
54,1,0,false,,,,15,89,2,"Dot ball, Jasprit Bumrah to Shivam Dube",false,false,
55,1,6,false,,,,15,95,2,Shivam Dube launches Jasprit Bumrah over long-on for SIX!,false,false,Jason Behrendorff
56,1,1,false,,,,15,96,2,"Quick single, Ruturaj Gaikwad keeps strike rotating",false,false,
57,1,0,false,,,,15,96,2,"Dot ball, Jason Behrendorff to Shivam Dube",false,false,
58,1,1,false,,,,15,97,2,"Quick single, Shivam Dube keeps strike rotating",false,false,
59,1,4,false,,,,15,101,2,"Ruturaj Gaikwad finds the gap, races away for four",false,false,
60,1,0,false,,,,15,101,2,"Dot ball, Jason Behrendorff to Ruturaj Gaikwad",false,false,
61,1,2,false,,,,15,103,2,Ruturaj Gaikwad pushes for two in the deep,false,false,Hardik Pandya
62,1,1,false,,,,15,104,2,"Quick single, Shivam Dube keeps strike rotating",false,false,
63,1,0,true,,Ravindra Jadeja,caught,15,104,3,Ruturaj Gaikwad holes out — huge moment in the chase,false,false,
64,1,1,false,,,,15,105,3,"Quick single, Ravindra Jadeja keeps strike rotating",false,false,
65,1,4,false,,,,15,109,3,"Shivam Dube finds the gap, races away for four",false,false,
66,1,2,false,,,,15,111,3,Shivam Dube pushes for two in the deep,false,false,
67,1,0,false,,,,15,111,3,"Dot ball, Hardik Pandya to Shivam Dube",false,false,Piyush Chawla
68,1,1,false,,,,15,112,3,"Quick single, Ravindra Jadeja keeps strike rotating",false,false,
69,1,6,false,,,,15,118,3,Shivam Dube launches Piyush Chawla over long-on for SIX!,false,false,
70,1,1,false,,,,15,119,3,"Quick single, Shivam Dube keeps strike rotating",false,false,
71,1,0,false,,,,15,119,3,"Dot ball, Piyush Chawla to Ravindra Jadeja",false,false,
72,1,2,false,,,,15,121,3,Ravindra Jadeja pushes for two in the deep,false,false,
73,1,1,false,,,,15,122,3,"Quick single, Ravindra Jadeja keeps strike rotating",false,false,Gerald Coetzee
74,1,4,false,,,,15,126,3,"Ravindra Jadeja finds the gap, races away for four",false,false,
75,1,1,false,,,,15,127,3,"Quick single, Ravindra Jadeja keeps strike rotating",false,false,
76,1,0,false,,,,15,127,3,"Dot ball, Gerald Coetzee to Shivam Dube",false,false,
77,1,2,false,,,,15,129,3,Shivam Dube pushes for two in the deep,false,false,
78,1,1,false,,,,15,130,3,"Quick single, Shivam Dube keeps strike rotating",false,false,
79,1,4,false,,,,15,134,3,"Ravindra Jadeja finds the gap, races away for four",false,false,Tim David
80,1,0,false,,,,15,134,3,"Dot ball, Tim David to Shivam Dube",false,false,
81,1,1,false,,,,15,135,3,"Quick single, Shivam Dube keeps strike rotating",false,false,
82,1,2,false,,,,15,137,3,Ravindra Jadeja pushes for two in the deep,false,false,
83,1,0,true,,MS Dhoni,caught,15,137,4,Ravindra Jadeja holes out — huge moment in the chase,false,false,
84,1,1,false,,,,15,138,4,"Quick single, MS Dhoni keeps strike rotating",false,false,
85,1,4,false,,,,15,142,4,"Shivam Dube finds the gap, races away for four",false,false,Rohit Sharma
86,1,1,false,,,,15,143,4,"Quick single, MS Dhoni keeps strike rotating",false,false,
87,1,0,false,,,,15,143,4,"Dot ball, Rohit Sharma to Shivam Dube",false,false,
88,1,2,false,,,,15,145,4,Shivam Dube pushes for two in the deep,false,false,
89,1,1,false,,,,15,146,4,"Quick single, Shivam Dube keeps strike rotating",false,false,
90,1,4,false,,,,15,150,4,"MS Dhoni finds the gap, races away for four",false,false,
91,1,0,false,,,,15,150,4,"Dot ball, Rohit Sharma to MS Dhoni",false,false,Tilak Varma
92,1,1,false,,,,15,151,4,"Quick single, Shivam Dube keeps strike rotating",false,false,
93,1,2,false,,,,15,153,4,MS Dhoni pushes for two in the deep,false,false,
94,1,1,false,,,,15,154,4,"Quick single, MS Dhoni keeps strike rotating",false,false,
95,1,0,false,,,,15,154,4,"Dot ball, Tilak Varma to Shivam Dube",false,false,
96,1,1,false,,,,15,155,4,"Quick single, Shivam Dube keeps strike rotating",false,false,
97,1,4,false,,,,15,159,4,"MS Dhoni finds the gap, races away for four",false,false,Jasprit Bumrah
