match_id,event_seq,innings,runs,is_wicket,extra,striker_name,non_striker_name,bowler_name,next_batter_name,wicket_type,delay_sec,over,ball_in_over,is_legal_ball,runs_off_bat,extra_runs,is_boundary,is_four,is_six,score_after,wickets_after,balls_bowled_after,overs_text_after,runs_needed_after,target_score,commentary,end_innings,end_match,change_bowler,swap_strike
0000000000000000000000aa,1,2,1,false,,Rohit Sharma,Ishan Kishan,Deepak Chahar,,,7,1,1,true,1,0,false,false,false,1,0,1,0.1,205,206,"Quick single, Rohit Sharma keeps strike rotating",false,false,,false
0000000000000000000000aa,2,2,0,false,,Ishan Kishan,Rohit Sharma,Deepak Chahar,,,7,1,2,true,0,0,false,false,false,1,0,2,0.2,205,206,"Dot ball, Deepak Chahar to Ishan Kishan",false,false,,false
0000000000000000000000aa,3,2,4,false,,Ishan Kishan,Rohit Sharma,Deepak Chahar,,,7,1,3,true,4,0,true,true,false,5,0,3,0.3,201,206,Ishan Kishan crunching cover drive — MI closing in on 206,false,false,,false
0000000000000000000000aa,4,2,1,false,,Ishan Kishan,Rohit Sharma,Deepak Chahar,,,7,1,4,true,1,0,false,false,false,6,0,4,0.4,200,206,"Quick single, Ishan Kishan keeps strike rotating",false,false,,false
0000000000000000000000aa,5,2,0,false,,Rohit Sharma,Ishan Kishan,Deepak Chahar,,,7,1,5,true,0,0,false,false,false,6,0,5,0.5,200,206,"Dot ball, Deepak Chahar to Rohit Sharma",false,false,,false
0000000000000000000000aa,6,2,2,false,,Rohit Sharma,Ishan Kishan,Deepak Chahar,,,7,1,6,true,2,0,false,false,false,8,0,6,1.0,198,206,Rohit Sharma pushes for two in the deep,false,false,Tushar Deshpande,true
0000000000000000000000aa,7,2,1,false,,Ishan Kishan,Rohit Sharma,Tushar Deshpande,,,7,2,1,true,1,0,false,false,false,9,0,7,1.1,197,206,"Quick single, Ishan Kishan keeps strike rotating",false,false,,false
0000000000000000000000aa,8,2,4,false,,Rohit Sharma,Ishan Kishan,Tushar Deshpande,,,7,2,2,true,4,0,true,true,false,13,0,8,1.2,193,206,Rohit Sharma crunching cover drive — MI closing in on 206,false,false,,false
0000000000000000000000aa,9,2,0,false,,Rohit Sharma,Ishan Kishan,Tushar Deshpande,,,7,2,3,true,0,0,false,false,false,13,0,9,1.3,193,206,"Dot ball, Tushar Deshpande to Rohit Sharma",false,false,,false
0000000000000000000000aa,10,2,1,false,,Rohit Sharma,Ishan Kishan,Tushar Deshpande,,,7,2,4,true,1,0,false,false,false,14,0,10,1.4,192,206,"Quick single, Rohit Sharma keeps strike rotating",false,false,,false
0000000000000000000000aa,11,2,6,false,,Ishan Kishan,Rohit Sharma,Tushar Deshpande,,,7,2,5,true,6,0,true,false,true,20,0,11,1.5,186,206,Ishan Kishan SIX! MI need 186 off 109 now,false,false,,false
0000000000000000000000aa,12,2,0,false,,Ishan Kishan,Rohit Sharma,Tushar Deshpande,,,7,2,6,true,0,0,false,false,false,20,0,12,2.0,186,206,"Dot ball, Tushar Deshpande to Ishan Kishan",false,false,Ravindra Jadeja,true
0000000000000000000000aa,13,2,1,false,,Rohit Sharma,Ishan Kishan,Ravindra Jadeja,,,7,3,1,true,1,0,false,false,false,21,0,13,2.1,185,206,"Quick single, Rohit Sharma keeps strike rotating",false,false,,false
0000000000000000000000aa,14,2,4,false,,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,2,true,4,0,true,true,false,25,0,14,2.2,181,206,Ishan Kishan crunching cover drive — MI closing in on 206,false,false,,false
0000000000000000000000aa,15,2,2,false,,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,3,true,2,0,false,false,false,27,0,15,2.3,179,206,Ishan Kishan pushes for two in the deep,false,false,,false
0000000000000000000000aa,16,2,0,false,,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,4,true,0,0,false,false,false,27,0,16,2.4,179,206,"Dot ball, Ravindra Jadeja to Ishan Kishan",false,false,,false
0000000000000000000000aa,17,2,2,false,wide,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,4,false,1,1,false,false,false,29,0,16,2.4,177,206,"Wide from Ravindra Jadeja, pressure on the bowler in the chase",false,false,,false
0000000000000000000000aa,18,2,0,false,,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,5,true,0,0,false,false,false,29,0,17,2.5,177,206,"Dot ball, Ravindra Jadeja to Ishan Kishan",false,false,,false
0000000000000000000000aa,19,2,1,false,,Ishan Kishan,Rohit Sharma,Ravindra Jadeja,,,7,3,6,true,1,0,false,false,false,30,0,18,3.0,176,206,"Quick single, Ishan Kishan keeps strike rotating",false,false,Maheesh Theekshana,true
0000000000000000000000aa,20,2,4,false,,Ishan Kishan,Rohit Sharma,Maheesh Theekshana,,,7,4,1,true,4,0,true,true,false,34,0,19,3.1,172,206,Ishan Kishan crunching cover drive — MI closing in on 206,false,false,,false
0000000000000000000000aa,21,2,2,false,,Ishan Kishan,Rohit Sharma,Maheesh Theekshana,,,7,4,2,true,2,0,false,false,false,36,0,20,3.2,170,206,Ishan Kishan pushes for two in the deep,false,false,,false
0000000000000000000000aa,22,2,0,false,,Ishan Kishan,Rohit Sharma,Maheesh Theekshana,,,7,4,3,true,0,0,false,false,false,36,0,21,3.3,170,206,"Dot ball, Maheesh Theekshana to Ishan Kishan",false,false,,false
0000000000000000000000aa,23,2,1,false,,Ishan Kishan,Rohit Sharma,Maheesh Theekshana,,,7,4,4,true,1,0,false,false,false,37,0,22,3.4,169,206,"Quick single, Ishan Kishan keeps strike rotating",false,false,,false
0000000000000000000000aa,24,2,0,true,,Rohit Sharma,Ishan Kishan,Maheesh Theekshana,Suryakumar Yadav,caught,7,4,5,true,0,0,false,false,false,37,1,23,3.5,169,206,Rohit Sharma holes out — huge moment in the chase,false,false,,false
0000000000000000000000aa,25,2,1,false,,Suryakumar Yadav,Ishan Kishan,Maheesh Theekshana,,,7,4,6,true,1,0,false,false,false,38,1,24,4.0,168,206,"Quick single, Suryakumar Yadav keeps strike rotating",false,false,Mitchell Santner,true
0000000000000000000000aa,26,2,4,false,,Suryakumar Yadav,Ishan Kishan,Mitchell Santner,,,7,5,1,true,4,0,true,true,false,42,1,25,4.1,164,206,Suryakumar Yadav crunching cover drive — MI closing in on 206,false,false,,false
0000000000000000000000aa,27,2,2,false,,Suryakumar Yadav,Ishan Kishan,Mitchell Santner,,,7,5,2,true,2,0,false,false,false,44,1,26,4.2,162,206,Suryakumar Yadav pushes for two in the deep,false,false,,false
0000000000000000000000aa,28,2,1,false,,Suryakumar Yadav,Ishan Kishan,Mitchell Santner,,,7,5,3,true,1,0,false,false,false,45,1,27,4.3,161,206,"Quick single, Suryakumar Yadav keeps strike rotating",false,false,,false
0000000000000000000000aa,29,2,0,false,,Ishan Kishan,Suryakumar Yadav,Mitchell Santner,,,7,5,4,true,0,0,false,false,false,45,1,28,4.4,161,206,"Dot ball, Mitchell Santner to Ishan Kishan",false,false,,false
0000000000000000000000aa,30,2,6,false,,Ishan Kishan,Suryakumar Yadav,Mitchell Santner,,,7,5,5,true,6,0,true,false,true,51,1,29,4.5,155,206,Ishan Kishan SIX! MI need 155 off 91 now,false,false,,false
