event_seq,innings,runs,is_wicket,extra,next_batter_name,wicket_type,delay_sec,score_after,wickets_after,commentary,end_innings,end_match,change_bowler
1,1,0,false,,,,15,0,0,"Dot ball, Mitchell Starc to Rohit Sharma",false,false,
2,1,0,false,,,,15,0,0,"Dot ball, Mitchell Starc to Rohit Sharma",false,false,
3,1,1,false,,,,15,1,0,Single taken by Rohit Sharma,false,false,
4,1,0,false,,,,15,1,0,"Dot ball, Mitchell Starc to Shubman Gill",false,false,
5,1,1,false,,,,15,2,0,Single taken by Shubman Gill,false,false,
6,1,4,false,,,,15,6,0,FOUR! Rohit Sharma pierces the field,false,false,Pat Cummins
7,1,0,false,,,,15,6,0,"Dot ball, Pat Cummins to Shubman Gill",false,false,
8,1,1,false,,,,15,7,0,Single taken by Shubman Gill,false,false,
9,1,0,false,,,,15,7,0,"Dot ball, Pat Cummins to Rohit Sharma",false,false,
10,1,1,false,,,,15,8,0,Single taken by Rohit Sharma,false,false,
11,1,1,false,wide,,,15,9,0,Wide from Pat Cummins,false,false,
12,1,0,false,,,,15,9,0,"Dot ball, Pat Cummins to Shubman Gill",false,false,
13,1,1,false,,,,15,10,0,Single taken by Shubman Gill,false,false,Josh Hazlewood
14,1,0,false,,,,15,10,0,"Dot ball, Josh Hazlewood to Shubman Gill",false,false,
15,1,0,false,,,,15,10,0,"Dot ball, Josh Hazlewood to Shubman Gill",false,false,
16,1,1,false,,,,15,11,0,Single taken by Shubman Gill,false,false,
17,1,0,false,,,,15,11,0,"Dot ball, Josh Hazlewood to Rohit Sharma",false,false,
18,1,0,false,,,,15,11,0,"Dot ball, Josh Hazlewood to Rohit Sharma",false,false,
19,1,1,false,,,,15,12,0,Single taken by Rohit Sharma,false,false,Adam Zampa
20,1,0,false,,,,15,12,0,"Dot ball, Adam Zampa to Rohit Sharma",false,false,
21,1,1,false,,,,15,13,0,Single taken by Rohit Sharma,false,false,
22,1,4,false,,,,15,17,0,FOUR! Shubman Gill pierces the field,false,false,
23,1,0,false,,,,15,17,0,"Dot ball, Adam Zampa to Shubman Gill",false,false,
24,1,1,false,,,,15,18,0,Single taken by Shubman Gill,false,false,
25,1,0,false,,,,15,18,0,"Dot ball, Adam Zampa to Rohit Sharma",false,false,Mitchell Marsh
26,1,1,false,,,,15,19,0,Single taken by Shubman Gill,false,false,
27,1,1,false,wide,,,15,20,0,Wide from Mitchell Marsh,false,false,
28,1,0,false,,,,15,20,0,"Dot ball, Mitchell Marsh to Rohit Sharma",false,false,
29,1,1,false,,,,15,21,0,Single taken by Rohit Sharma,false,false,
30,1,0,false,,,,15,21,0,"Dot ball, Mitchell Marsh to Shubman Gill",false,false,
31,1,0,false,,,,15,21,0,"Dot ball, Mitchell Marsh to Shubman Gill",false,false,
32,1,1,false,,,,15,22,0,Single taken by Shubman Gill,false,false,Glenn Maxwell
33,1,0,false,,,,15,22,0,"Dot ball, Glenn Maxwell to Shubman Gill",false,false,
34,1,0,false,,,,15,22,0,"Dot ball, Glenn Maxwell to Shubman Gill",false,false,
35,1,1,false,,,,15,23,0,Single taken by Shubman Gill,false,false,
36,1,0,false,,,,15,23,0,"Dot ball, Glenn Maxwell to Rohit Sharma",false,false,
37,1,1,false,,,,15,24,0,Single taken by Rohit Sharma,false,false,
38,1,4,false,,,,15,28,0,FOUR! Shubman Gill pierces the field,false,false,Marcus Stoinis
39,1,0,false,,,,15,28,0,"Dot ball, Marcus Stoinis to Rohit Sharma",false,false,
40,1,1,false,,,,15,29,0,Single taken by Rohit Sharma,false,false,
41,1,0,false,,,,15,29,0,"Dot ball, Marcus Stoinis to Shubman Gill",false,false,
42,1,1,false,,,,15,30,0,Single taken by Shubman Gill,false,false,
43,1,1,false,wide,,,15,31,0,Wide from Marcus Stoinis,false,false,
44,1,0,false,,,,15,31,0,"Dot ball, Marcus Stoinis to Rohit Sharma",false,false,
45,1,1,false,,,,15,32,0,Single taken by Rohit Sharma,false,false,Travis Head
46,1,0,false,,,,15,32,0,"Dot ball, Travis Head to Rohit Sharma",false,false,
47,1,0,true,,Virat Kohli,caught,15,32,1,WICKET! Rohit Sharma is caught — Travis Head strikes,false,false,
48,1,1,false,,,,15,33,1,Single taken by Virat Kohli,false,false,
49,1,0,false,,,,15,33,1,"Dot ball, Travis Head to Shubman Gill",false,false,
