match_id,event_seq,innings,runs,is_wicket,extra,striker_name,non_striker_name,bowler_name,next_batter_name,wicket_type,delay_sec,over,ball_in_over,is_legal_ball,runs_off_bat,extra_runs,is_boundary,is_four,is_six,score_after,wickets_after,balls_bowled_after,overs_text_after,runs_needed_after,target_score,commentary,end_innings,end_match,change_bowler,swap_strike
0000000000000000000000bb,1,1,0,false,,Virat Kohli,Faf du Plessis,Mitchell Starc,,,15,1,1,true,0,0,false,false,false,0,0,1,0.1,0,,"Dot ball, Mitchell Starc to Virat Kohli",false,false,,false
0000000000000000000000bb,2,1,1,false,,Virat Kohli,Faf du Plessis,Mitchell Starc,,,15,1,2,true,1,0,false,false,false,1,0,2,0.2,0,,"Quick single, Virat Kohli keeps strike rotating",false,false,,false
0000000000000000000000bb,3,1,2,false,,Faf du Plessis,Virat Kohli,Mitchell Starc,,,15,1,3,true,2,0,false,false,false,3,0,3,0.3,0,,Faf du Plessis pushes for two in the deep,false,false,,false
0000000000000000000000bb,4,1,0,false,,Faf du Plessis,Virat Kohli,Mitchell Starc,,,15,1,4,true,0,0,false,false,false,3,0,4,0.4,0,,"Dot ball, Mitchell Starc to Faf du Plessis",false,false,,false
0000000000000000000000bb,5,1,1,false,,Faf du Plessis,Virat Kohli,Mitchell Starc,,,15,1,5,true,1,0,false,false,false,4,0,5,0.5,0,,"Quick single, Faf du Plessis keeps strike rotating",false,false,,false
0000000000000000000000bb,6,1,4,false,,Virat Kohli,Faf du Plessis,Mitchell Starc,,,15,1,6,true,4,0,true,true,false,8,0,6,1.0,0,,"Virat Kohli finds the gap, races away for four",false,false,Andre Russell,true
0000000000000000000000bb,7,1,0,false,,Faf du Plessis,Virat Kohli,Andre Russell,,,15,2,1,true,0,0,false,false,false,8,0,7,1.1,0,,"Dot ball, Andre Russell to Faf du Plessis",false,false,,false
0000000000000000000000bb,8,1,1,false,,Faf du Plessis,Virat Kohli,Andre Russell,,,15,2,2,true,1,0,false,false,false,9,0,8,1.2,0,,"Quick single, Faf du Plessis keeps strike rotating",false,false,,false
0000000000000000000000bb,9,1,0,false,,Virat Kohli,Faf du Plessis,Andre Russell,,,15,2,3,true,0,0,false,false,false,9,0,9,1.3,0,,"Dot ball, Andre Russell to Virat Kohli",false,false,,false
0000000000000000000000bb,10,1,2,false,,Virat Kohli,Faf du Plessis,Andre Russell,,,15,2,4,true,2,0,false,false,false,11,0,10,1.4,0,,Virat Kohli pushes for two in the deep,false,false,,false
0000000000000000000000bb,11,1,1,false,,Virat Kohli,Faf du Plessis,Andre Russell,,,15,2,5,true,1,0,false,false,false,12,0,11,1.5,0,,"Quick single, Virat Kohli keeps strike rotating",false,false,,false
0000000000000000000000bb,12,1,0,false,,Faf du Plessis,Virat Kohli,Andre Russell,,,15,2,6,true,0,0,false,false,false,12,0,12,2.0,0,,"Dot ball, Andre Russell to Faf du Plessis",false,false,Sunil Narine,true
0000000000000000000000bb,13,1,1,false,,Virat Kohli,Faf du Plessis,Sunil Narine,,,15,3,1,true,1,0,false,false,false,13,0,13,2.1,0,,"Quick single, Virat Kohli keeps strike rotating",false,false,,false
0000000000000000000000bb,14,1,0,false,,Faf du Plessis,Virat Kohli,Sunil Narine,,,15,3,2,true,0,0,false,false,false,13,0,14,2.2,0,,"Dot ball, Sunil Narine to Faf du Plessis",false,false,,false
0000000000000000000000bb,15,1,4,false,,Faf du Plessis,Virat Kohli,Sunil Narine,,,15,3,3,true,4,0,true,true,false,17,0,15,2.3,0,,"Faf du Plessis finds the gap, races away for four",false,false,,false
0000000000000000000000bb,16,1,1,false,,Faf du Plessis,Virat Kohli,Sunil Narine,,,15,3,4,true,1,0,false,false,false,18,0,16,2.4,0,,"Quick single, Faf du Plessis keeps strike rotating",false,false,,false
