match_id,event_seq,innings,runs,is_wicket,extra,striker_name,non_striker_name,bowler_name,next_batter_name,wicket_type,delay_sec,over,ball_in_over,is_legal_ball,runs_off_bat,extra_runs,is_boundary,is_four,is_six,score_after,wickets_after,balls_bowled_after,overs_text_after,runs_needed_after,target_score,commentary,end_innings,end_match,change_bowler,swap_strike
0000000000000000000000bb,1,2,2,false,,Phil Salt,Sunil Narine,Mohammed Siraj,,,7,1,1,true,2,0,false,false,false,2,0,1,0.1,176,178,Phil Salt pushes for two in the deep,false,false,,false
0000000000000000000000bb,2,2,1,false,,Phil Salt,Sunil Narine,Mohammed Siraj,,,7,1,2,true,1,0,false,false,false,3,0,2,0.2,175,178,"Quick single, Phil Salt keeps strike rotating",false,false,,false
0000000000000000000000bb,3,2,0,false,,Sunil Narine,Phil Salt,Mohammed Siraj,,,7,1,3,true,0,0,false,false,false,3,0,3,0.3,175,178,"Dot ball, Mohammed Siraj to Sunil Narine",false,false,,false
0000000000000000000000bb,4,2,4,false,,Sunil Narine,Phil Salt,Mohammed Siraj,,,7,1,4,true,4,0,true,true,false,7,0,4,0.4,171,178,Sunil Narine crunching cover drive — KKR closing in on 178,false,false,,false
0000000000000000000000bb,5,2,1,false,,Sunil Narine,Phil Salt,Mohammed Siraj,,,7,1,5,true,1,0,false,false,false,8,0,5,0.5,170,178,"Quick single, Sunil Narine keeps strike rotating",false,false,,false
0000000000000000000000bb,6,2,0,false,,Phil Salt,Sunil Narine,Mohammed Siraj,,,7,1,6,true,0,0,false,false,false,8,0,6,1.0,170,178,"Dot ball, Mohammed Siraj to Phil Salt",false,false,Yash Dayal,true
0000000000000000000000bb,7,2,1,false,,Sunil Narine,Phil Salt,Yash Dayal,,,7,2,1,true,1,0,false,false,false,9,0,7,1.1,169,178,"Quick single, Sunil Narine keeps strike rotating",false,false,,false
0000000000000000000000bb,8,2,2,false,,Phil Salt,Sunil Narine,Yash Dayal,,,7,2,2,true,2,0,false,false,false,11,0,8,1.2,167,178,Phil Salt pushes for two in the deep,false,false,,false
0000000000000000000000bb,9,2,0,false,,Phil Salt,Sunil Narine,Yash Dayal,,,7,2,3,true,0,0,false,false,false,11,0,9,1.3,167,178,"Dot ball, Yash Dayal to Phil Salt",false,false,,false
0000000000000000000000bb,10,2,1,false,,Phil Salt,Sunil Narine,Yash Dayal,,,7,2,4,true,1,0,false,false,false,12,0,10,1.4,166,178,"Quick single, Phil Salt keeps strike rotating",false,false,,false
0000000000000000000000bb,11,2,4,false,,Sunil Narine,Phil Salt,Yash Dayal,,,7,2,5,true,4,0,true,true,false,16,0,11,1.5,162,178,Sunil Narine crunching cover drive — KKR closing in on 178,false,false,,false
0000000000000000000000bb,12,2,1,false,,Sunil Narine,Phil Salt,Yash Dayal,,,7,2,6,true,1,0,false,false,false,17,0,12,2.0,161,178,"Quick single, Sunil Narine keeps strike rotating",false,false,Lockie Ferguson,true
0000000000000000000000bb,13,2,6,false,,Sunil Narine,Phil Salt,Lockie Ferguson,,,7,3,1,true,6,0,true,false,true,23,0,13,2.1,155,178,Sunil Narine SIX! KKR need 155 off 107 now,false,false,,false
0000000000000000000000bb,14,2,0,false,,Sunil Narine,Phil Salt,Lockie Ferguson,,,7,3,2,true,0,0,false,false,false,23,0,14,2.2,155,178,"Dot ball, Lockie Ferguson to Sunil Narine",false,false,,false
